action,actor_type,size_kb,rep,gas_used,gas_floor,ratio
baseline_tick,direct_eoa,,0,26149,,
baseline_tick,direct_eoa,,1,26149,,
baseline_tick,direct_eoa,,2,26149,,
create,direct_eoa,1,0,558703,26149,21.366132548089794
create,direct_eoa,1,1,558703,26149,21.366132548089794
create,direct_eoa,1,2,558703,26149,21.366132548089794
submit,direct_eoa,1,0,355252,26149,13.58568205285097
submit,direct_eoa,1,1,355252,26149,13.58568205285097
submit,direct_eoa,1,2,355252,26149,13.58568205285097
validate,direct_eoa,1,0,324458,26149,12.408046196795288
validate,direct_eoa,1,1,324458,26149,12.408046196795288
validate,direct_eoa,1,2,324458,26149,12.408046196795288
request_revision,direct_eoa,1,0,348297,26149,13.31970629852002
request_revision,direct_eoa,1,1,348297,26149,13.31970629852002
request_revision,direct_eoa,1,2,348297,26149,13.31970629852002
revise,direct_eoa,1,0,573850,26149,21.9453898810662
revise,direct_eoa,1,1,573850,26149,21.9453898810662
revise,direct_eoa,1,2,573850,26149,21.9453898810662
publish,direct_eoa,1,0,583719,26149,22.322803931316685
publish,direct_eoa,1,1,583719,26149,22.322803931316685
publish,direct_eoa,1,2,583719,26149,22.322803931316685
deprecate,direct_eoa,1,0,350126,26149,13.389651611916326
deprecate,direct_eoa,1,1,350126,26149,13.389651611916326
deprecate,direct_eoa,1,2,350126,26149,13.389651611916326
challenge,direct_eoa,1,0,59715,26149,2.283643733986003
challenge,direct_eoa,1,1,59715,26149,2.283643733986003
challenge,direct_eoa,1,2,59715,26149,2.283643733986003
create_size,direct_eoa,1,0,1317734,26149,50.39328463803587
create_size,direct_eoa,1,1,1317734,26149,50.39328463803587
create_size,direct_eoa,1,2,1317734,26149,50.39328463803587
create_size,direct_eoa,10,0,7949877,26149,304.02221882289956
create_size,direct_eoa,10,1,7949877,26149,304.02221882289956
create_size,direct_eoa,10,2,7949877,26149,304.02221882289956
create_size,direct_eoa,100,0,0,26149,0.0
create_size,direct_eoa,100,1,0,26149,0.0
create_size,direct_eoa,100,2,0,26149,0.0
create_size,direct_eoa,250,0,0,26149,0.0
create_size,direct_eoa,250,1,0,26149,0.0
create_size,direct_eoa,250,2,0,26149,0.0
metadata_max_bytes,direct_eoa,35,0,26978239,26149,1031.712073119431
create,relayer,1,0,597389,26149,22.845577268729205
create,relayer,1,1,580301,26149,22.192091475773452
create,relayer,1,2,580301,26149,22.192091475773452
submit,relayer,1,0,373759,26149,14.293433783318674
submit,relayer,1,1,373759,26149,14.293433783318674
submit,relayer,1,2,373747,26149,14.292974874756204
validate,relayer,1,0,359977,26149,13.76637729932311
validate,relayer,1,1,342877,26149,13.112432597804887
validate,relayer,1,2,342877,26149,13.112432597804887
request_revision,relayer,1,0,367655,26149,14.060002294542812
request_revision,relayer,1,1,367655,26149,14.060002294542812
request_revision,relayer,1,2,367655,26149,14.060002294542812
revise,relayer,1,0,593624,26149,22.70159470725458
revise,relayer,1,1,593624,26149,22.70159470725458
revise,relayer,1,2,593612,26149,22.70113579869211
publish,relayer,1,0,619018,26149,23.672721710199244
publish,relayer,1,1,601894,26149,23.01785919155608
publish,relayer,1,2,601918,26149,23.01877700868102
deprecate,relayer,1,0,369441,26149,14.128303185590271
deprecate,relayer,1,1,369441,26149,14.128303185590271
deprecate,relayer,1,2,369441,26149,14.128303185590271
