sweep,point,rep,latency_s
card_count,0,0,0.02199166599984892
card_count,0,1,0.033382333000190556
card_count,0,2,0.023089625000466185
card_count,10,0,0.03403083400007745
card_count,10,1,0.01794012499976816
card_count,10,2,0.01880387500023062
card_count,25,0,0.01761833300042781
card_count,25,1,0.023856458999944152
card_count,25,2,0.017720249999911175
card_count,50,0,0.021049792000667367
card_count,50,1,0.020003457999337115
card_count,50,2,0.017942458000106853
card_count,100,0,0.01749066699994728
card_count,100,1,0.018979624999701628
card_count,100,2,0.01716170800045802
actions_per_card_read,0,0,0.005737999999837484
actions_per_card_read,0,1,0.005204457999752776
actions_per_card_read,0,2,0.005391334000705683
actions_per_card_read,10,0,0.010353374000260374
actions_per_card_read,10,1,0.010348083999815572
actions_per_card_read,10,2,0.012080292000973714
actions_per_card_read,25,0,0.013344999000764801
actions_per_card_read,25,1,0.01184270799967635
actions_per_card_read,25,2,0.018817375000253378
actions_per_card_read,50,0,0.010515040999962366
actions_per_card_read,50,1,0.010511958000279265
actions_per_card_read,50,2,0.01025762399967789
actions_per_card_read,100,0,0.010328709000532399
actions_per_card_read,100,1,0.010150582999813196
actions_per_card_read,100,2,0.010252625000248372
