attack_id,attack_name,system,attempt_prevented,history_intact,detail
T1,audit-trail deletion,SMART,True,True,no admin mutator found (0 candidates); 4 records stable
T2,retroactive claim modification,SMART,True,True,action.claimRef before=746eb7290faa8b53... after=746eb7290faa8b53... ; live snapshot moved 746eb7290faa8b53... -> 5640abe6446c5935...
T3,forged deprecation,SMART,True,True,"reverted with {'code': -32603, 'message': ""Error: VM Exception while processing transaction: r; no Deprecated logs emitted"
