sweep,point,rep,latency_s
card_count,0,0,0.05831187500007218
card_count,0,1,0.03149387499433942
card_count,0,2,0.04930570799479028
card_count,0,3,0.04098575100215385
card_count,0,4,0.03182570799981477
card_count,10,0,0.059740000004239846
card_count,10,1,0.029548792001151014
card_count,10,2,0.0356714590016054
card_count,10,3,0.030471791003947146
card_count,10,4,0.059434417002194095
card_count,100,0,0.03400770799635211
card_count,100,1,0.03473091700288933
card_count,100,2,0.035333917003299575
card_count,100,3,0.025632542005041614
card_count,100,4,0.030190541001502424
card_count,1000,0,0.028389458006131463
card_count,1000,1,0.024993083003209904
card_count,1000,2,0.023663667001528665
card_count,1000,3,0.041243332998419646
card_count,1000,4,0.022508375004690606
card_count,5000,0,0.028446291005820967
card_count,5000,1,0.028661791002377868
card_count,5000,2,0.026212584001768846
card_count,5000,3,0.022829333000117913
card_count,5000,4,0.025082208005187567
actions_per_card_read,0,0,0.006386916997143999
actions_per_card_read,0,1,0.005532124996534549
actions_per_card_read,0,2,0.0048922089918050915
actions_per_card_read,0,3,0.004935001001285855
actions_per_card_read,0,4,0.0052131670017843135
actions_per_card_read,10,0,0.011001166007190477
actions_per_card_read,10,1,0.01034050000453135
actions_per_card_read,10,2,0.010483749996637926
actions_per_card_read,10,3,0.0102504169990425
actions_per_card_read,10,4,0.012494417002017144
actions_per_card_read,50,0,0.01105325000389712
actions_per_card_read,50,1,0.010293916995578911
actions_per_card_read,50,2,0.010807499995280523
actions_per_card_read,50,3,0.010413542004243936
actions_per_card_read,50,4,0.010367916998802684
actions_per_card_read,100,0,0.010656207996362355
actions_per_card_read,100,1,0.010545416000240948
actions_per_card_read,100,2,0.010091082993312739
actions_per_card_read,100,3,0.01007641699834494
actions_per_card_read,100,4,0.010208167004748248
panel_pool,3,0,0.008666416993946768
panel_pool,3,1,0.007804249995388091
panel_pool,3,2,0.007830167000065558
panel_pool,3,3,0.008098834005068056
panel_pool,3,4,0.007546250002633315
panel_pool,10,0,0.02525337500264868
panel_pool,10,1,0.02493075000529643
panel_pool,10,2,0.024962208000943065
panel_pool,10,3,0.024607166997157037
panel_pool,10,4,0.024871917004929855
panel_pool,30,0,0.07945550000295043
panel_pool,30,1,0.07407933299691649
panel_pool,30,2,0.07292287499876693
panel_pool,30,3,0.08730175000528106
panel_pool,30,4,0.07560675000422634
claim_count,1,0,0.0027199159958399832
claim_count,1,1,0.0025284160001319833
claim_count,1,2,0.002526250005757902
claim_count,1,3,0.0026864579995162785
claim_count,1,4,0.002642708001076244
claim_count,10,0,0.004265083000063896
claim_count,10,1,0.002449375002470333
claim_count,10,2,0.00228695799887646
claim_count,10,3,0.0023067910005920567
claim_count,10,4,0.002475082997989375
claim_count,100,0,0.002703625003050547
claim_count,100,1,0.0026037080024252646
claim_count,100,2,0.0025233330015907995
claim_count,100,3,0.0026434589963173494
claim_count,100,4,0.0025297920001321472
claim_count,1000,0,0.002937125005701091
claim_count,1000,1,0.0024612079942016862
claim_count,1000,2,0.0024763749970588833
claim_count,1000,3,0.002583041998150293
claim_count,1000,4,0.0024828330060699955
